,VitaminC
1696,0.0
1697,0.0
1698,0.0
1699,0.5
1700,
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,11.9
1706,10.0
1707,0.0
1708,0.0
1709,0.0
1710,1.2
1711,0.0
1712,0.0
1713,2.5
1714,11.3
1715,62.0
1716,0.1
1717,0.0
1718,0.9
1719,0.9
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.4
1727,6.2
1728,0.0
1729,38.0
1730,32.4
1731,16.7
1732,0.0
1733,68.0
1734,0.0
1735,6.0
1736,0.0
1737,0.6
1738,0.8
1739,0.0
1740,
1741,31.8
1742,0.0
1743,0.0
1744,0.0
1745,1.8
1746,9.8
1747,3.3
1748,0.0
1749,0.0
1750,6.2
1751,0.0
1752,0.0
1753,0.0
1754,2.0
1755,129.0
1756,0.2
1757,
1758,
1759,0.2
1760,0.3
1761,4.6
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,4.2
1767,6.5
1768,0.0
1769,23.6
1770,0.0
1771,3.7
1772,15.1
1773,0.9
1774,0.0
1775,1.7
1776,
1777,
1778,4.9
1779,1.9
1780,0.0
1781,53.0
1782,
1783,0.0
1784,0.3
1785,0.0
1786,18.2
1787,0.0
1788,
1789,0.0
1790,2.1
1791,
1792,1.2
1793,0.0
1794,0.7
1795,20.0
1796,0.2
1797,0.0
1798,0.3
1799,11.4
1800,0.0
1801,2.1
1802,0.0
1803,0.0
1804,0.1
1805,1.0
1806,0.0
1807,
1808,34.2
1809,0.4
1810,0.0
1811,0.2
1812,
1813,20.6
1814,0.0
1815,0.0
1816,0.6
1817,0.3
1818,0.9
1819,0.0
1820,11.4
1821,0.0
1822,0.0
1823,1.0
1824,12.9
1825,0.0
1826,0.0
1827,
1828,0.0
1829,
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.2
1835,0.2
1836,1.2
1837,1.5
1838,0.0
1839,0.0
1840,0.0
1841,0.3
1842,0.0
1843,0.0
1844,4.0
1845,2.0
1846,0.0
1847,0.2
1848,1.8
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.8
1854,2.9
1855,0.0
1856,7.9
1857,29.6
1858,120.0
1859,0.0
1860,
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,39.5
1869,
1870,0.4
1871,
1872,0.0
1873,1.8
1874,
1875,0.0
1876,21.1
1877,0.7
1878,8.0
1879,
1880,0.0
1881,0.6
1882,0.0
1883,13.2
1884,0.4
1885,0.0
1886,0.0
1887,9.0
1888,10.0
1889,17.6
1890,0.0
1891,0.0
1892,0.0
1893,
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,
1900,0.0
1901,0.7
1902,0.0
1903,0.1
1904,0.0
1905,0.7
1906,0.0
1907,0.0
1908,24.4
1909,42.0
1910,
1911,0.0
1912,0.0
1913,33.8
1914,17.0
1915,7.9
1916,1.2
1917,0.0
1918,0.0
1919,9.7
1920,0.0
1921,0.0
1922,0.0
1923,0.0
1924,
1925,11.7
1926,0.0
1927,0.2
1928,0.0
1929,0.0
1930,0.0
1931,59.4
1932,0.4
1933,0.0
1934,6.2
1935,0.0
1936,
1937,0.0
1938,0.0
1939,0.0
1940,15.3
1941,0.0
1942,2.5
1943,0.0
1944,
1945,13.7
1946,31.4
1947,1.4
1948,0.0
1949,0.0
1950,1.0
1951,171.0
1952,0.5
1953,29.6
1954,32.1
1955,0.0
1956,0.5
1957,0.0
1958,0.0
1959,0.0
1960,0.2
1961,
1962,0.7
1963,6.5
1964,34.4
1965,
1966,92.3
1967,0.0
1968,0.0
1969,2.3
1970,
1971,24.0
1972,0.0
1973,15.1
1974,0.1
1975,
1976,1.0
1977,0.0
1978,0.1
1979,41.0
1980,47.8
1981,4.7
1982,1.6
1983,1.0
1984,0.0
1985,
1986,0.0
1987,
1988,0.0
1989,2.0
1990,0.0
1991,0.7
1992,1.0
1993,
1994,4.0
1995,0.0
1996,0.0
1997,3.5
1998,
1999,0.0
2000,
2001,0.0
2002,
2003,0.0
2004,0.0
2005,61.0
2006,0.0
2007,0.0
2008,0.0
2009,0.0
2010,
2011,16.0
2012,108.6
2013,0.0
2014,31.0
2015,0.2
2016,21.6
2017,0.0
2018,2.6
2019,0.0
2020,0.0
2021,
2022,25.0
2023,1.4
2024,0.1
2025,5.4
2026,0.0
2027,0.0
2028,1.0
